Date,High,Low,Open,Close,Volume,Adj Close
1994-03-24,46.84375,46.15625,46.75,46.375,1200500.0,27.682483673095703
1994-03-25,46.53125,45.9375,46.40625,45.9375,100900.0,27.42132568359375
1994-03-28,46.0625,45.59375,46.0,46.0,1117200.0,27.458629608154297
1994-03-29,46.03125,45.09375,46.0,45.09375,338400.0,26.917667388916016
1994-03-30,45.25,44.46875,45.125,44.46875,1123900.0,26.544580459594727
1994-03-31,44.6875,43.53125,44.46875,44.59375,788800.0,26.619220733642578
1994-04-04,44.03125,43.34375,43.34375,43.90625,2627300.0,26.208820343017578
1994-04-05,44.8125,44.34375,44.34375,44.8125,1179000.0,26.749780654907227
1994-04-06,44.90625,44.5,44.875,44.8125,516500.0,26.749780654907227
1994-04-07,45.125,44.53125,44.78125,45.03125,666100.0,26.880369186401367
1994-04-08,44.9375,44.46875,44.9375,44.6875,242400.0,26.675167083740234
1994-04-11,45.0625,44.703125,44.8125,44.875,203300.0,26.787086486816406
1994-04-12,45.0,44.71875,44.921875,44.8125,1409200.0,26.749780654907227
1994-04-13,44.90625,44.25,44.796875,44.578125,364100.0,26.6098690032959
1994-04-14,44.828125,44.40625,44.5,44.59375,419900.0,26.619220733642578
1994-04-15,44.78125,44.515625,44.578125,44.59375,387300.0,26.619220733642578
1994-04-18,44.765625,44.15625,44.640625,44.296875,369100.0,26.441987991333008
1994-04-19,44.53125,43.984375,44.25,44.359375,472200.0,26.479299545288086
1994-04-20,44.515625,44.078125,44.40625,44.3125,508000.0,26.451332092285156
1994-04-21,44.96875,44.34375,44.5,44.90625,200300.0,26.80573844909668
1994-04-22,45.046875,44.734375,45.015625,44.859375,301800.0,26.777759552001953
1994-04-25,45.359375,44.84375,44.84375,45.328125,394600.0,27.057567596435547
1994-04-26,45.34375,45.1875,45.265625,45.28125,399000.0,27.029586791992188
1994-04-28,45.25,44.8125,45.1875,44.953125,287000.0,26.83372688293457
1994-04-29,45.15625,44.8125,44.875,45.09375,481900.0,26.917667388916016
1994-05-02,45.71875,44.9375,45.09375,45.375,275000.0,27.085556030273438
1994-05-03,45.40625,45.0625,45.390625,45.328125,183400.0,27.057567596435547
1994-05-04,45.421875,45.078125,45.421875,45.25,401900.0,27.010923385620117
1994-05-05,45.375,45.1875,45.296875,45.1875,659800.0,26.973623275756836
1994-05-06,44.96875,44.59375,44.96875,44.75,216300.0,26.712467193603516
1994-05-09,44.75,44.28125,44.625,44.359375,499300.0,26.479299545288086
1994-05-10,44.84375,44.546875,44.578125,44.703125,583400.0,26.684486389160156
1994-05-11,44.71875,44.171875,44.65625,44.296875,210600.0,26.441987991333008
1994-05-12,44.625,44.40625,44.578125,44.515625,305200.0,26.57256507873535
1994-05-13,44.640625,44.296875,44.640625,44.515625,321300.0,26.57256507873535
1994-05-16,44.75,44.515625,44.609375,44.53125,450400.0,26.581892013549805
1994-05-17,45.1875,44.5,44.5625,45.1875,470200.0,26.973623275756836
1994-05-18,45.6875,45.015625,45.21875,45.515625,824800.0,27.169492721557617
1994-05-19,45.859375,45.421875,45.421875,45.734375,531000.0,27.300077438354492
1994-05-20,45.6875,45.5,45.65625,45.5625,370400.0,27.197473526000977
1994-05-23,45.53125,45.34375,45.515625,45.484375,262700.0,27.150836944580078
1994-05-24,45.84375,45.609375,45.609375,45.671875,549600.0,27.26276206970215
1994-05-25,45.828125,45.34375,45.5,45.796875,738200.0,27.337371826171875
1994-05-26,45.9375,45.734375,45.78125,45.828125,369600.0,27.35604476928711
1994-05-27,45.875,45.671875,45.75,45.875,162000.0,27.384017944335938
1994-05-31,45.90625,45.65625,45.734375,45.8125,160000.0,27.346702575683594
1994-06-01,46.015625,45.5625,45.703125,46.015625,200500.0,27.46796417236328
1994-06-02,46.046875,45.890625,46.046875,45.96875,55100.0,27.439979553222656
1994-06-03,46.390625,45.859375,46.0,46.234375,550400.0,27.59854507446289
1994-06-06,46.46875,46.1875,46.328125,46.21875,99300.0,27.589208602905273
1994-06-07,46.21875,46.03125,46.140625,46.15625,120600.0,27.55191421508789
1994-06-08,46.265625,45.78125,46.265625,45.78125,131900.0,27.328052520751953
1994-06-09,46.03125,45.890625,45.984375,46.03125,80500.0,27.477285385131836
1994-06-10,46.203125,46.078125,46.078125,46.109375,83100.0,27.523908615112305
1994-06-13,46.1875,46.03125,46.046875,46.171875,109700.0,27.56123161315918
1994-06-14,46.546875,46.3125,46.3125,46.53125,161000.0,27.775747299194336
